day,plant-id,total_fresh_weight_g,baseline_g,carbon_dioxide,temp_env,humidity,pressure,electrical_conductivity,volume,temp_nutr,volume_flow_rate
4.0,5.0,38.5,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,4.0,39.2,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,7.0,39.2,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,10.0,39.9,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,3.0,42.1,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
8.0,6.0,40.1,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,2.0,43.4,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,8.0,43.6,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,1.0,44.3,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,6.0,45.0,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,5.0,45.1,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,4.0,46.0,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,7.0,46.2,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,9.0,46.8,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
8.0,3.0,49.2,25.22,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633
12.0,6.0,47.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,5.0,51.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,1.0,52.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,8.0,52.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,7.0,52.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,2.0,53.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,9.0,53.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,4.0,55.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,10.0,55.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
12.0,3.0,58.0,25.22,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572
16.0,6.0,61.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,5.0,62.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,1.0,66.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,7.0,66.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,9.0,67.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,8.0,68.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,2.0,71.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,3.0,75.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,4.0,76.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
16.0,10.0,70.0,25.22,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877
20.0,5.0,91.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,6.0,95.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,7.0,102.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,8.0,104.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,1.0,104.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,10.0,108.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,9.0,109.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,2.0,115.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
20.0,4.0,117.0,25.22,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407
