total_fresh_weight_g,carbon_dioxide,temp_env,humidity,pressure,electrical_conductivity,volume,temp_nutr,volume_flow_rate,weight_lag_1,weight_lag_2
52.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,44.3,38.1
52.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,43.6,36.5
52.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,46.2,39.2
53.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,43.4,36.3
53.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,46.8,36.9
55.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,46.0,39.2
55.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,39.9,31.1
58.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,49.2,42.1
61.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,47.0,45.0
62.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,51.0,45.1
66.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,52.0,44.3
66.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,52.0,46.2
67.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,53.0,46.8
68.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,52.0,43.6
71.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,53.0,43.4
75.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,58.0,49.2
76.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,55.0,46.0
70.0,496.81632653061223,22.316326530612244,53.72591836734694,99111.63836734694,1699.3877551020407,24206.932142857142,25.323561224489794,1.1591836734693877,55.0,39.9
91.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,62.0,51.0
95.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,61.0,47.0
102.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,66.0,52.0
104.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,68.0,52.0
104.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,66.0,52.0
108.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,70.0,55.0
109.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,67.0,53.0
115.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,71.0,53.0
117.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,76.0,55.0
119.0,532.3571428571429,22.804489795918368,52.37285714285714,99187.10367346939,1668.8775510204082,19444.102448979593,23.34933673469388,1.1543877551020407,75.0,58.0
